danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.44,0.311,9,-10.845999999999998,1,0.0336,0.825,0.0005139999999999,0.113,0.161,155.52100000000002,audio_features,3LBCD2JEscvWYsKxi7ZZNJ,spotify:track:3LBCD2JEscvWYsKxi7ZZNJ,https://api.spotify.com/v1/tracks/3LBCD2JEscvWYsKxi7ZZNJ,https://api.spotify.com/v1/audio-analysis/3LBCD2JEscvWYsKxi7ZZNJ,223846,3,Hiphop,You,,
0.644,0.7509999999999999,0,-5.652,1,0.268,0.662,0.0,0.17,0.759,199.896,audio_features,12OkZyDWNBLUqoReoseGrc,spotify:track:12OkZyDWNBLUqoReoseGrc,https://api.spotify.com/v1/tracks/12OkZyDWNBLUqoReoseGrc,https://api.spotify.com/v1/audio-analysis/12OkZyDWNBLUqoReoseGrc,258613,4,Hiphop,Rhymes Like Dimes,,
0.863,0.907,7,-4.146,1,0.1889999999999999,0.0543,1.85e-06,0.181,0.807,203.724,audio_features,6Uq5Vi8UmZGzGIicjkkz64,spotify:track:6Uq5Vi8UmZGzGIicjkkz64,https://api.spotify.com/v1/tracks/6Uq5Vi8UmZGzGIicjkkz64,https://api.spotify.com/v1/audio-analysis/6Uq5Vi8UmZGzGIicjkkz64,273867,4,Hiphop,Dirty Mack,,
0.535,0.984,10,-6.1179999999999986,0,0.0378,9.55e-06,0.851,0.0914,0.44,137.983,audio_features,25T0Thfson7PPyDamwnA5D,spotify:track:25T0Thfson7PPyDamwnA5D,https://api.spotify.com/v1/tracks/25T0Thfson7PPyDamwnA5D,https://api.spotify.com/v1/audio-analysis/25T0Thfson7PPyDamwnA5D,215652,4,trance,,7376.0,"Uplifting Trance, Euphoric Trance"
0.468,0.972,7,-6.069,1,0.0586,0.000415,0.846,0.295,0.0866,139.96200000000002,audio_features,1Hm8bL9LrnF4nfMYITOKZ5,spotify:track:1Hm8bL9LrnF4nfMYITOKZ5,https://api.spotify.com/v1/tracks/1Hm8bL9LrnF4nfMYITOKZ5,https://api.spotify.com/v1/audio-analysis/1Hm8bL9LrnF4nfMYITOKZ5,220339,4,trance,,6932.0,Best of Trance
0.509,0.994,6,-6.632999999999999,0,0.136,0.175,0.86,0.295,0.0385,137.976,audio_features,5INmL8wfqxWwTq7SbPnDuN,spotify:track:5INmL8wfqxWwTq7SbPnDuN,https://api.spotify.com/v1/tracks/5INmL8wfqxWwTq7SbPnDuN,https://api.spotify.com/v1/audio-analysis/5INmL8wfqxWwTq7SbPnDuN,234783,4,trance,,6144.0,"Uplifting Trance, Euphoric Trance"
0.6459999999999999,0.912,1,-10.16,1,0.075,0.00543,0.939,0.116,0.408,140.0,audio_features,5Sby5vBSF5h5VhkgbFvzwg,spotify:track:5Sby5vBSF5h5VhkgbFvzwg,https://api.spotify.com/v1/tracks/5Sby5vBSF5h5VhkgbFvzwg,https://api.spotify.com/v1/audio-analysis/5Sby5vBSF5h5VhkgbFvzwg,358419,4,techno,,4988.0,techno. only. (08/02)
0.711,0.902,7,-6.388,1,0.043,0.00743,0.906,0.156,0.113,130.007,audio_features,2rligvcv80SjPTUIa0usBW,spotify:track:2rligvcv80SjPTUIa0usBW,https://api.spotify.com/v1/tracks/2rligvcv80SjPTUIa0usBW,https://api.spotify.com/v1/audio-analysis/2rligvcv80SjPTUIa0usBW,465692,4,techno,,5347.0,techno. only. (08/02)
0.713,0.7659999999999999,1,-6.94,1,0.0452,0.000129,0.905,0.128,0.0304,131.029,audio_features,1N867YleKP2fVi8tvEHKFI,spotify:track:1N867YleKP2fVi8tvEHKFI,https://api.spotify.com/v1/tracks/1N867YleKP2fVi8tvEHKFI,https://api.spotify.com/v1/audio-analysis/1N867YleKP2fVi8tvEHKFI,215059,4,techno,,3946.0,techno. only. (08/02)
0.65,0.6829999999999999,1,-7.098,0,0.311,0.0887,0.0,0.252,0.33,130.07299999999998,audio_features,2TAf6ITyhwc9Z3MYb4tSYl,spotify:track:2TAf6ITyhwc9Z3MYb4tSYl,https://api.spotify.com/v1/tracks/2TAf6ITyhwc9Z3MYb4tSYl,https://api.spotify.com/v1/audio-analysis/2TAf6ITyhwc9Z3MYb4tSYl,203227,4,RnB,On The Way,,
0.7170000000000001,0.597,10,-4.465,1,0.0838,0.3829999999999999,0.0,0.14,0.44,154.096,audio_features,24QjawKdGJmsAIVe3EhzGH,spotify:track:24QjawKdGJmsAIVe3EhzGH,https://api.spotify.com/v1/tracks/24QjawKdGJmsAIVe3EhzGH,https://api.spotify.com/v1/audio-analysis/24QjawKdGJmsAIVe3EhzGH,134853,4,RnB,F&MU,,
0.718,0.7759999999999999,7,-5.207999999999999,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,audio_features,1zZIGnXIcDKU8QIUkR20nK,spotify:track:1zZIGnXIcDKU8QIUkR20nK,https://api.spotify.com/v1/tracks/1zZIGnXIcDKU8QIUkR20nK,https://api.spotify.com/v1/audio-analysis/1zZIGnXIcDKU8QIUkR20nK,227787,4,RnB,She Doesn't Mind,,
0.772,0.498,8,-7.661,1,0.649,0.115,0.0,0.0898,0.351,81.817,audio_features,2UciqgwVDwro0fev3MFbxJ,spotify:track:2UciqgwVDwro0fev3MFbxJ,https://api.spotify.com/v1/tracks/2UciqgwVDwro0fev3MFbxJ,https://api.spotify.com/v1/audio-analysis/2UciqgwVDwro0fev3MFbxJ,216727,4,Rap,ATM,,
0.916,0.537,6,-9.79,0,0.245,0.188,0.00286,0.115,0.223,123.02,audio_features,0zcmVx57BsnlYaPu7k2e2e,spotify:track:0zcmVx57BsnlYaPu7k2e2e,https://api.spotify.com/v1/tracks/0zcmVx57BsnlYaPu7k2e2e,https://api.spotify.com/v1/audio-analysis/0zcmVx57BsnlYaPu7k2e2e,313987,4,Rap,Whole Lot,,
0.745,0.8340000000000001,8,-3.626,1,0.127,0.304,0.0,0.4539999999999999,0.482,157.05700000000002,audio_features,1HzE0tqP7fGwS8LWpAVRN6,spotify:track:1HzE0tqP7fGwS8LWpAVRN6,https://api.spotify.com/v1/tracks/1HzE0tqP7fGwS8LWpAVRN6,https://api.spotify.com/v1/audio-analysis/1HzE0tqP7fGwS8LWpAVRN6,159104,4,Rap,Strictly Business,,
0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,200.016,audio_features,6ihL9TjfRjadfEePzXXyVF,spotify:track:6ihL9TjfRjadfEePzXXyVF,https://api.spotify.com/v1/tracks/6ihL9TjfRjadfEePzXXyVF,https://api.spotify.com/v1/audio-analysis/6ihL9TjfRjadfEePzXXyVF,213107,4,Pop,Gives You Hell,,
0.609,0.6679999999999999,11,-4.515,1,0.0308,0.287,0.0104,0.0974,0.212,165.95,audio_features,0TRmtiR9q6XnYDzXmoMpGC,spotify:track:0TRmtiR9q6XnYDzXmoMpGC,https://api.spotify.com/v1/tracks/0TRmtiR9q6XnYDzXmoMpGC,https://api.spotify.com/v1/audio-analysis/0TRmtiR9q6XnYDzXmoMpGC,228434,4,Pop,All My Heroes - Radio Edit,,
